MARQUE,CODE EDI,CODE COMMERCIAL,MODELE COMMERCIAL,BACK OFFICE COMMERCIAL,GÉOMETRIE,DESIGN,INDICE,MATIERE,TRAITEMENT,FLUX COMMERCIAL,COULEUR,PRIX 2*NETS,TAUX DE REMISE GC,PRIX 3*NETS GC,KALIXIA,ITELIS,CARTE BLANCHE,SEVEANE,SANTECLAIRE
CODIR,AITDRX,AITD,IMPULSION2 OFG 125 15 SUV B-PROTECT CLEAN,IMPULSION2 OFG 125 15 SUV B-PROTECT CLEAN,UNIFOCAL,IMPULSION2,"1,5","BLANC SUV 1,5",B-PROTECT CLEAN,RX,BLANC,"36,70€","5,00%","34,87€",,,,,
ORUS,ATEFRX,ATEF,ORUS SCREEN BOOST 125 15 SUV B-PROTECT CLEAN,IMPULSION2 OFG 125 15 SUV B-PROTECT CLEAN,UNIFOCAL,IMPULSION2,"1,5","BLANC SUV 1,5",B-PROTECT CLEAN,RX,BLANC,"31,05€","5,00%","29,50€",,,,,
CODIR,09XORX,9XO,IMPULSION2 125 15 SABR MISTRAL,IMPULSION2 125 15 SABR MISTRAL,UNIFOCAL,IMPULSION2,"1,5",SOLACTIVE,MISTRAL,RX,BRUN,"34,08€","5,00%","32,38€",,,,,
ORUS,ATEGRX,ATEG,ORUS SCREEN BOOST 125 15 SABR MISTRAL,IMPULSION2 125 15 SABR MISTRAL,UNIFOCAL,IMPULSION2,"1,5",SOLACTIVE,MISTRAL,RX,BRUN,"29,97€","5,00%","28,47€",,,,,
CODIR,09XPRX,9XP,IMPULSION2 125 15 SAGR MISTRAL,IMPULSION2 125 15 SAGR MISTRAL,UNIFOCAL,IMPULSION2,"1,5",SOLACTIVE,MISTRAL,RX,GRIS,"34,08€","5,00%","32,38€",,,,,
ORUS,ATEHRX,ATEH,ORUS SCREEN BOOST 125 15 SAGR MISTRAL,IMPULSION2 125 15 SAGR MISTRAL,UNIFOCAL,IMPULSION2,"1,5",SOLACTIVE,MISTRAL,RX,GRIS,"29,97€","5,00%","28,47€",,,,,
CODIR,09XSRX,9XS,IMPULSION2 125 15 SABR QUATTRO UV,IMPULSION2 125 15 SABR QUATTRO UV,UNIFOCAL,IMPULSION2,"1,5",SOLACTIVE,QUATTRO UV,RX,BRUN,"38,48€","4,99%","36,56€",,,,,
ORUS,ATEIRX,ATEI,ORUS SCREEN BOOST 125 15 SABR QUATTRO UV,IMPULSION2 125 15 SABR QUATTRO UV,UNIFOCAL,IMPULSION2,"1,5",SOLACTIVE,QUATTRO UV,RX,BRUN,"33,85€","5,00%","32,16€",,,,,
CODIR,09XTRX,9XT,IMPULSION2 125 15 SAGR QUATTRO UV,IMPULSION2 125 15 SAGR QUATTRO UV,UNIFOCAL,IMPULSION2,"1,5",SOLACTIVE,QUATTRO UV,RX,GRIS,"38,48€","4,99%","36,56€",,,,,
ORUS,ATEJRX,ATEJ,ORUS SCREEN BOOST 125 15 SAGR QUATTRO UV,IMPULSION2 125 15 SAGR QUATTRO UV,UNIFOCAL,IMPULSION2,"1,5",SOLACTIVE,QUATTRO UV,RX,GRIS,"33,85€","5,00%","32,16€",,,,,
CODIR,AITERX,AITE,IMPULSION2 125 15 SABR QUATTRO UV CLEAN,IMPULSION2 125 15 SABR QUATTRO UV CLEAN,UNIFOCAL,IMPULSION2,"1,5",SOLACTIVE,QUATTRO UV CLEAN,RX,BRUN,"42,25€","4,99%","40,14€",,,,,
ORUS,ATEKRX,ATEK,ORUS SCREEN BOOST 125 15 SABR QUATTRO UV CLEAN,IMPULSION2 125 15 SABR QUATTRO UV CLEAN,UNIFOCAL,IMPULSION2,"1,5",SOLACTIVE,QUATTRO UV CLEAN,RX,BRUN,"37,16€","5,00%","35,30€",,,,,
CODIR,AITFRX,AITF,IMPULSION2 125 15 SAGR QUATTRO UV CLEAN,IMPULSION2 125 15 SAGR QUATTRO UV CLEAN,UNIFOCAL,IMPULSION2,"1,5",SOLACTIVE,QUATTRO UV CLEAN,RX,GRIS,"42,25€","4,99%","40,14€",,,,,
ORUS,ATELRX,ATEL,ORUS SCREEN BOOST 125 15 SAGR QUATTRO UV CLEAN,IMPULSION2 125 15 SAGR QUATTRO UV CLEAN,UNIFOCAL,IMPULSION2,"1,5",SOLACTIVE,QUATTRO UV CLEAN,RX,GRIS,"37,16€","5,00%","35,30€",,,,,
CODIR,AOMSRX,AOMS,IMPULSION2 125 15 POLA BR3 DYMIC,IMPULSION2 125 15 POLA BR3 DYMIC,UNIFOCAL,IMPULSION2,"1,5",POLARISANT,DYMIC,RX,BRUN,"20,88€","5,03%","19,83€",,,,,
CODIR,AOM1RX,AOM1,IMPULSION2 125 15 POLA GR3 DYMIC,IMPULSION2 125 15 POLA GR3 DYMIC,UNIFOCAL,IMPULSION2,"1,5",POLARISANT,DYMIC,RX,GRIS,"20,88€","5,03%","19,83€",,,,,
CODIR,AOMWRX,AOMW,IMPULSION2 125 15 POLA G15 DYMIC,IMPULSION2 125 15 POLA G15 DYMIC,UNIFOCAL,IMPULSION2,"1,5",POLARISANT,DYMIC,RX,GRIS US,"20,88€","5,03%","19,83€",,,,,
CODIR,AOMQRX,AOMQ,IMPULSION2 125 15 POLA BR3 ARFA,IMPULSION2 125 15 POLA BR3 ARFA,UNIFOCAL,IMPULSION2,"1,5",POLARISANT,ARFA,RX,BRUN,"27,16€","4,99%","25,80€",,,,,
CODIR,AOMZRX,AOMZ,IMPULSION2 125 15 POLA GR3 ARFA,IMPULSION2 125 15 POLA GR3 ARFA,UNIFOCAL,IMPULSION2,"1,5",POLARISANT,ARFA,RX,GRIS,"27,16€","4,99%","25,80€",,,,,
CODIR,AOMVRX,AOMV,IMPULSION2 125 15 POLA G15 ARFA,IMPULSION2 125 15 POLA G15 ARFA,UNIFOCAL,IMPULSION2,"1,5",POLARISANT,ARFA,RX,GRIS US,"27,16€","4,99%","25,80€",,,,,
CODIR,09XURX,9XU,IMPULSION2 OFG 125 16 SUV MISTRAL,IMPULSION2 OFG 125 16 SUV MISTRAL,UNIFOCAL,IMPULSION2,"1,6","BLANC SUV > 1,5",MISTRAL,RX,BLANC,"25,86€","4,99%","24,57€","96,79 €",,,,
ORUS,ATEMRX,ATEM,ORUS SCREEN BOOST 125 16 SUV MISTRAL,IMPULSION2 OFG 125 16 SUV MISTRAL,UNIFOCAL,IMPULSION2,"1,6","BLANC SUV > 1,5",MISTRAL,RX,BLANC,"21,89€","5,00%","20,80€",,,,,
CODIR,09XVRX,9XV,IMPULSION2 OFG 125 16 SUV E-PROTECT,IMPULSION2 OFG 125 16 SUV E-PROTECT,UNIFOCAL,IMPULSION2,"1,6","BLANC SUV > 1,5",E-PROTECT,RX,BLANC,"29,25€","5,00%","27,79€","98,76 €",,,,
ORUS,ATENRX,ATEN,ORUS SCREEN BOOST 125 16 SUV E-PROTECT,IMPULSION2 OFG 125 16 SUV E-PROTECT,UNIFOCAL,IMPULSION2,"1,6","BLANC SUV > 1,5",E-PROTECT,RX,BLANC,"24,75€","5,00%","23,51€",,,,,
CODIR,09XYRX,9XY,IMPULSION2 OFG 125 16 SUV QUATTRO UV,IMPULSION2 OFG 125 16 SUV QUATTRO UV,UNIFOCAL,IMPULSION2,"1,6","BLANC SUV > 1,5",QUATTRO UV,RX,BLANC,"30,60€","4,98%","29,08€","96,79 €",,,,
ORUS,ATEORX,ATEO,ORUS SCREEN BOOST 125 16 SUV QUATTRO UV,IMPULSION2 OFG 125 16 SUV QUATTRO UV,UNIFOCAL,IMPULSION2,"1,6","BLANC SUV > 1,5",QUATTRO UV,RX,BLANC,"25,90€","5,00%","24,61€",,,,,
CODIR,AITGRX,AITG,IMPULSION2 OFG 125 16 SUV QUATTRO UV CLEAN,IMPULSION2 OFG 125 16 SUV QUATTRO UV CLEAN,UNIFOCAL,IMPULSION2,"1,6","BLANC SUV > 1,5",QUATTRO UV CLEAN,RX,BLANC,"34,67€","5,01%","32,93€",,,,,
ORUS,ATEPRX,ATEP,ORUS SCREEN BOOST 125 16 SUV QUATTRO UV CLEAN,IMPULSION2 OFG 125 16 SUV QUATTRO UV CLEAN,UNIFOCAL,IMPULSION2,"1,6","BLANC SUV > 1,5",QUATTRO UV CLEAN,RX,BLANC,"29,33€","5,00%","27,86€",,,,,
CODIR,09Y0RX,9Y0,IMPULSION2 OFG 125 16 SUV B-PROTECT,IMPULSION2 OFG 125 16 SUV B-PROTECT,UNIFOCAL,IMPULSION2,"1,6","BLANC SUV > 1,5",B-PROTECT,RX,BLANC,"34,67€","5,01%","32,93€","99,76 €",,,,
ORUS,ATEQRX,ATEQ,ORUS SCREEN BOOST 125 16 SUV B-PROTECT,IMPULSION2 OFG 125 16 SUV B-PROTECT,UNIFOCAL,IMPULSION2,"1,6","BLANC SUV > 1,5",B-PROTECT,RX,BLANC,"29,33€","5,00%","27,86€",,,,,
CODIR,AITHRX,AITH,IMPULSION2 OFG 125 16 SUV B-PROTECT CLEAN,IMPULSION2 OFG 125 16 SUV B-PROTECT CLEAN,UNIFOCAL,IMPULSION2,"1,6","BLANC SUV > 1,5",B-PROTECT CLEAN,RX,BLANC,"38,73€","5,00%","36,79€",,,,,
ORUS,ATERRX,ATER,ORUS SCREEN BOOST 125 16 SUV B-PROTECT CLEAN,IMPULSION2 OFG 125 16 SUV B-PROTECT CLEAN,UNIFOCAL,IMPULSION2,"1,6","BLANC SUV > 1,5",B-PROTECT CLEAN,RX,BLANC,"32,77€","5,00%","31,13€",,,,,
CODIR,09XWRX,9XW,IMPULSION2 125 16 SABR MISTRAL,IMPULSION2 125 16 SABR MISTRAL,UNIFOCAL,IMPULSION2,"1,6",SOLACTIVE,MISTRAL,RX,BRUN,"37,85€","4,99%","35,96€",,,,,
ORUS,ATESRX,ATES,ORUS SCREEN BOOST 125 16 SABR MISTRAL,IMPULSION2 125 16 SABR MISTRAL,UNIFOCAL,IMPULSION2,"1,6",SOLACTIVE,MISTRAL,RX,BRUN,"33,29€","5,00%","31,63€",,,,,
CODIR,09XXRX,9XX,IMPULSION2 125 16 SAGR MISTRAL,IMPULSION2 125 16 SAGR MISTRAL,UNIFOCAL,IMPULSION2,"1,6",SOLACTIVE,MISTRAL,RX,GRIS,"37,85€","4,99%","35,96€",,,,,
ORUS,ATETRX,ATET,ORUS SCREEN BOOST 125 16 SAGR MISTRAL,IMPULSION2 125 16 SAGR MISTRAL,UNIFOCAL,IMPULSION2,"1,6",SOLACTIVE,MISTRAL,RX,GRIS,"33,29€","5,00%","31,63€",,,,,
CODIR,09Y1RX,9Y1,IMPULSION2 125 16 SABR QUATTRO UV,IMPULSION2 125 16 SABR QUATTRO UV,UNIFOCAL,IMPULSION2,"1,6",SOLACTIVE,QUATTRO UV,RX,BRUN,"42,25€","4,99%","40,14€",,,,,
ORUS,ATEURX,ATEU,ORUS SCREEN BOOST 125 16 SABR QUATTRO UV,IMPULSION2 125 16 SABR QUATTRO UV,UNIFOCAL,IMPULSION2,"1,6",SOLACTIVE,QUATTRO UV,RX,BRUN,"37,16€","5,00%","35,30€",,,,,
CODIR,09Y2RX,9Y2,IMPULSION2 125 16 SAGR QUATTRO UV,IMPULSION2 125 16 SAGR QUATTRO UV,UNIFOCAL,IMPULSION2,"1,6",SOLACTIVE,QUATTRO UV,RX,GRIS,"42,25€","4,99%","40,14€",,,,,
ORUS,ATEVRX,ATEV,ORUS SCREEN BOOST 125 16 SAGR QUATTRO UV,IMPULSION2 125 16 SAGR QUATTRO UV,UNIFOCAL,IMPULSION2,"1,6",SOLACTIVE,QUATTRO UV,RX,GRIS,"37,16€","5,00%","35,30€",,,,,
CODIR,AITIRX,AITI,IMPULSION2 125 16 SABR QUATTRO UV CLEAN,IMPULSION2 125 16 SABR QUATTRO UV CLEAN,UNIFOCAL,IMPULSION2,"1,6",SOLACTIVE,QUATTRO UV CLEAN,RX,BRUN,"46,03€","5,00%","43,73€",,,,,
ORUS,ATEWRX,ATEW,ORUS SCREEN BOOST 125 16 SABR QUATTRO UV CLEAN,IMPULSION2 125 16 SABR QUATTRO UV CLEAN,UNIFOCAL,IMPULSION2,"1,6",SOLACTIVE,QUATTRO UV CLEAN,RX,BRUN,"40,48€","5,00%","38,46€",,,,,
CODIR,AITJRX,AITJ,IMPULSION2 125 16 SAGR QUATTRO UV CLEAN,IMPULSION2 125 16 SAGR QUATTRO UV CLEAN,UNIFOCAL,IMPULSION2,"1,6",SOLACTIVE,QUATTRO UV CLEAN,RX,GRIS,"46,03€","5,00%","43,73€",,,,,
ORUS,ATEXRX,ATEX,ORUS SCREEN BOOST 125 16 SAGR QUATTRO UV CLEAN,IMPULSION2 125 16 SAGR QUATTRO UV CLEAN,UNIFOCAL,IMPULSION2,"1,6",SOLACTIVE,QUATTRO UV CLEAN,RX,GRIS,"40,48€","5,00%","38,46€",,,,,
CODIR,AOM4RX,AOM4,IMPULSION2 125 16 POLA BR3 DYMIC,IMPULSION2 125 16 POLA BR3 DYMIC,UNIFOCAL,IMPULSION2,"1,6",POLARISANT,DYMIC,RX,BRUN,"24,65€","5,01%","23,42€",,,,,
CODIR,AOM8RX,AOM8,IMPULSION2 125 16 POLA GR3 DYMIC,IMPULSION2 125 16 POLA GR3 DYMIC,UNIFOCAL,IMPULSION2,"1,6",POLARISANT,DYMIC,RX,GRIS,"24,65€","5,01%","23,42€",,,,,
CODIR,AOM6RX,AOM6,IMPULSION2 125 16 POLA G15 DYMIC,IMPULSION2 125 16 POLA G15 DYMIC,UNIFOCAL,IMPULSION2,"1,6",POLARISANT,DYMIC,RX,GRIS US,"24,65€","5,01%","23,42€",,,,,
CODIR,AOM3RX,AOM3,IMPULSION2 125 16 POLA BR3 ARFA,IMPULSION2 125 16 POLA BR3 ARFA,UNIFOCAL,IMPULSION2,"1,6",POLARISANT,ARFA,RX,BRUN,"30,94€","5,01%","29,39€",,,,,
CODIR,AOM7RX,AOM7,IMPULSION2 125 16 POLA GR3 ARFA,IMPULSION2 125 16 POLA GR3 ARFA,UNIFOCAL,IMPULSION2,"1,6",POLARISANT,ARFA,RX,GRIS,"30,94€","5,01%","29,39€",,,,,
CODIR,AOM5RX,AOM5,IMPULSION2 125 16 POLA G15 ARFA,IMPULSION2 125 16 POLA G15 ARFA,UNIFOCAL,IMPULSION2,"1,6",POLARISANT,ARFA,RX,GRIS US,"30,94€","5,01%","29,39€",,,,,
CODIR,09Y3RX,9Y3,IMPULSION2 OFG 125 167 SUV MISTRAL,IMPULSION2 OFG 125 167 SUV MISTRAL,UNIFOCAL,IMPULSION2,"1,67","BLANC SUV > 1,5",MISTRAL,RX,BLANC,"28,86€","4,99%","27,42€","118,75 €",,,,
ORUS,ATEYRX,ATEY,ORUS SCREEN BOOST 125 167 SUV MISTRAL,IMPULSION2 OFG 125 167 SUV MISTRAL,UNIFOCAL,IMPULSION2,"1,67","BLANC SUV > 1,5",MISTRAL,RX,BLANC,"24,30€","5,00%","23,09€",,,,,
CODIR,09Y4RX,9Y4,IMPULSION2 OFG 125 167 SUV E-PROTECT,IMPULSION2 OFG 125 167 SUV E-PROTECT,UNIFOCAL,IMPULSION2,"1,67","BLANC SUV > 1,5",E-PROTECT,RX,BLANC,"32,28€","4,99%","30,67€","122,72 €",,,,
ORUS,ATEZRX,ATEZ,ORUS SCREEN BOOST 125 167 SUV E-PROTECT,IMPULSION2 OFG 125 167 SUV E-PROTECT,UNIFOCAL,IMPULSION2,"1,67","BLANC SUV > 1,5",E-PROTECT,RX,BLANC,"27,18€","5,00%","25,82€",,,,,
CODIR,09Y7RX,9Y7,IMPULSION2 OFG 125 167 SUV QUATTRO UV,IMPULSION2 OFG 125 167 SUV QUATTRO UV,UNIFOCAL,IMPULSION2,"1,67","BLANC SUV > 1,5",QUATTRO UV,RX,BLANC,"33,65€","5,00%","31,97€","118,75 €",,,,
ORUS,ATE0RX,ATE0,ORUS SCREEN BOOST 125 167 SUV QUATTRO UV,IMPULSION2 OFG 125 167 SUV QUATTRO UV,UNIFOCAL,IMPULSION2,"1,67","BLANC SUV > 1,5",QUATTRO UV,RX,BLANC,"28,33€","5,00%","26,91€",,,,,
CODIR,AITKRX,AITK,IMPULSION2 OFG 125 167 SUV QUATTRO UV CLEAN,IMPULSION2 OFG 125 167 SUV QUATTRO UV CLEAN,UNIFOCAL,IMPULSION2,"1,67","BLANC SUV > 1,5",QUATTRO UV CLEAN,RX,BLANC,"37,76€","5,01%","35,87€",,,,,
ORUS,ATE1RX,ATE1,ORUS SCREEN BOOST 125 167 SUV QUATTRO UV CLEAN,IMPULSION2 OFG 125 167 SUV QUATTRO UV CLEAN,UNIFOCAL,IMPULSION2,"1,67","BLANC SUV > 1,5",QUATTRO UV CLEAN,RX,BLANC,"31,78€","5,00%","30,19€",,,,,
CODIR,09Y8RX,9Y8,IMPULSION2 OFG 125 167 SUV B-PROTECT,IMPULSION2 OFG 125 167 SUV B-PROTECT,UNIFOCAL,IMPULSION2,"1,67","BLANC SUV > 1,5",B-PROTECT,RX,BLANC,"37,76€","5,01%","35,87€","121,72 €",,,,
ORUS,ATE2RX,ATE2,ORUS SCREEN BOOST 125 167 SUV B-PROTECT,IMPULSION2 OFG 125 167 SUV B-PROTECT,UNIFOCAL,IMPULSION2,"1,67","BLANC SUV > 1,5",B-PROTECT,RX,BLANC,"31,78€","5,00%","30,19€",,,,,
CODIR,AITLRX,AITL,IMPULSION2 OFG 125 167 SUV B-PROTECT CLEAN,IMPULSION2 OFG 125 167 SUV B-PROTECT CLEAN,UNIFOCAL,IMPULSION2,"1,67","BLANC SUV > 1,5",B-PROTECT CLEAN,RX,BLANC,"41,86€","5,00%","39,77€",,,,,
ORUS,ATE3RX,ATE3,ORUS SCREEN BOOST 125 167 SUV B-PROTECT CLEAN,IMPULSION2 OFG 125 167 SUV B-PROTECT CLEAN,UNIFOCAL,IMPULSION2,"1,67","BLANC SUV > 1,5",B-PROTECT CLEAN,RX,BLANC,"35,24€","5,00%","33,48€",,,,,
CODIR,09Y5RX,9Y5,IMPULSION2 125 167 SABR MISTRAL,IMPULSION2 125 167 SABR MISTRAL,UNIFOCAL,IMPULSION2,"1,67",SOLACTIVE,MISTRAL,RX,BRUN,"40,60€","5,00%","38,57€",,,,,
ORUS,ATE4RX,ATE4,ORUS SCREEN BOOST 125 167 SABR MISTRAL,IMPULSION2 125 167 SABR MISTRAL,UNIFOCAL,IMPULSION2,"1,67",SOLACTIVE,MISTRAL,RX,BRUN,"35,60€","5,00%","33,82€",,,,,
CODIR,09Y6RX,9Y6,IMPULSION2 125 167 SAGR MISTRAL,IMPULSION2 125 167 SAGR MISTRAL,UNIFOCAL,IMPULSION2,"1,67",SOLACTIVE,MISTRAL,RX,GRIS,"40,60€","5,00%","38,57€",,,,,
ORUS,ATE5RX,ATE5,ORUS SCREEN BOOST 125 167 SAGR MISTRAL,IMPULSION2 125 167 SAGR MISTRAL,UNIFOCAL,IMPULSION2,"1,67",SOLACTIVE,MISTRAL,RX,GRIS,"35,60€","5,00%","33,82€",,,,,
CODIR,09Y9RX,9Y9,IMPULSION2 125 167 SABR QUATTRO UV,IMPULSION2 125 167 SABR QUATTRO UV,UNIFOCAL,IMPULSION2,"1,67",SOLACTIVE,QUATTRO UV,RX,BRUN,"45,03€","5,01%","42,77€",,,,,
ORUS,ATE6RX,ATE6,ORUS SCREEN BOOST 125 167 SABR QUATTRO UV,IMPULSION2 125 167 SABR QUATTRO UV,UNIFOCAL,IMPULSION2,"1,67",SOLACTIVE,QUATTRO UV,RX,BRUN,"39,48€","5,00%","37,51€",,,,,
CODIR,09YARX,9YA,IMPULSION2 125 167 SAGR QUATTRO UV,IMPULSION2 125 167 SAGR QUATTRO UV,UNIFOCAL,IMPULSION2,"1,67",SOLACTIVE,QUATTRO UV,RX,GRIS,"45,03€","5,01%","42,77€",,,,,
ORUS,ATE7RX,ATE7,ORUS SCREEN BOOST 125 167 SAGR QUATTRO UV,IMPULSION2 125 167 SAGR QUATTRO UV,UNIFOCAL,IMPULSION2,"1,67",SOLACTIVE,QUATTRO UV,RX,GRIS,"39,48€","5,00%","37,51€",,,,,
CODIR,AITMRX,AITM,IMPULSION2 125 167 SABR QUATTRO UV CLEAN,IMPULSION2 125 167 SABR QUATTRO UV CLEAN,UNIFOCAL,IMPULSION2,"1,67",SOLACTIVE,QUATTRO UV CLEAN,RX,BRUN,"48,82€","5,00%","46,38€",,,,,
ORUS,ATE8RX,ATE8,ORUS SCREEN BOOST 125 167 SABR QUATTRO UV CLEAN,IMPULSION2 125 167 SABR QUATTRO UV CLEAN,UNIFOCAL,IMPULSION2,"1,67",SOLACTIVE,QUATTRO UV CLEAN,RX,BRUN,"42,81€","5,00%","40,67€",,,,,
CODIR,AITNRX,AITN,IMPULSION2 125 167 SAGR QUATTRO UV CLEAN,IMPULSION2 125 167 SAGR QUATTRO UV CLEAN,UNIFOCAL,IMPULSION2,"1,67",SOLACTIVE,QUATTRO UV CLEAN,RX,GRIS,"48,82€","5,00%","46,38€",,,,,
ORUS,ATE9RX,ATE9,ORUS SCREEN BOOST 125 167 SAGR QUATTRO UV CLEAN,IMPULSION2 125 167 SAGR QUATTRO UV CLEAN,UNIFOCAL,IMPULSION2,"1,67",SOLACTIVE,QUATTRO UV CLEAN,RX,GRIS,"42,81€","5,00%","40,67€",,,,,
CODIR,AOM9RX,AOM9,IMPULSION2 125 167 POLA BR3 ARFA,IMPULSION2 125 167 POLA BR3 ARFA,UNIFOCAL,IMPULSION2,"1,67",POLARISANT,ARFA,RX,BRUN,"33,64€","4,99%","31,96€",,,,,
CODIR,AONCRX,AONC,IMPULSION2 125 167 POLA GR3 ARFA,IMPULSION2 125 167 POLA GR3 ARFA,UNIFOCAL,IMPULSION2,"1,67",POLARISANT,ARFA,RX,GRIS,"33,64€","4,99%","31,96€",,,,,
CODIR,AONBRX,AONB,IMPULSION2 125 167 POLA G15 ARFA,IMPULSION2 125 167 POLA G15 ARFA,UNIFOCAL,IMPULSION2,"1,67",POLARISANT,ARFA,RX,GRIS US,"33,64€","4,99%","31,96€",,,,,
CODIR,AKLPRX,AKLP,IMPULSION2 PLUS OFG 012 15 MISTRAL,IMPULSION2 PLUS OFG 012 15 MISTRAL,UNIFOCAL,IMPULSION2 PLUS,"1,5",BLANC,MISTRAL,RX,BLANC,"24,24€","5,01%","23,03€",,,,,
ORUS,ATFARX,ATFA,ORUS SCREEN BOOST PLUS 012 15 MISTRAL,IMPULSION2 PLUS OFG 012 15 MISTRAL,UNIFOCAL,IMPULSION2 PLUS,"1,5",BLANC,MISTRAL,RX,BLANC,"20,51€","5,00%","19,48€",,,,,
CODIR,AKLQRX,AKLQ,IMPULSION2 PLUS OFG 012 15 E-PROTECT,IMPULSION2 PLUS OFG 012 15 E-PROTECT,UNIFOCAL,IMPULSION2 PLUS,"1,5",BLANC,E-PROTECT,RX,BLANC,"27,63€","5,02%","26,24€",,,,,
ORUS,ATFBRX,ATFB,ORUS SCREEN BOOST PLUS 012 15 E-PROTECT,IMPULSION2 PLUS OFG 012 15 E-PROTECT,UNIFOCAL,IMPULSION2 PLUS,"1,5",BLANC,E-PROTECT,RX,BLANC,"23,38€","5,00%","22,21€",,,,,
CODIR,AKLRRX,AKLR,IMPULSION2 PLUS OFG 012 15 QUATTRO UV,IMPULSION2 PLUS OFG 012 15 QUATTRO UV,UNIFOCAL,IMPULSION2 PLUS,"1,5",BLANC,QUATTRO UV,RX,BLANC,"28,98€","5,00%","27,53€",,,,,
ORUS,ATFCRX,ATFC,ORUS SCREEN BOOST PLUS 012 15 QUATTRO UV,IMPULSION2 PLUS OFG 012 15 QUATTRO UV,UNIFOCAL,IMPULSION2 PLUS,"1,5",BLANC,QUATTRO UV,RX,BLANC,"24,52€","5,00%","23,29€",,,,,
CODIR,AKQQRX,AKQQ,IMPULSION2 PLUS OFG 012 15 QUATTRO UV CLEAN,IMPULSION2 PLUS OFG 012 15 QUATTRO UV CLEAN,UNIFOCAL,IMPULSION2 PLUS,"1,5",BLANC,QUATTRO UV CLEAN,RX,BLANC,"33,04€","4,99%","31,39€",,,,,
ORUS,ATFDRX,ATFD,ORUS SCREEN BOOST PLUS 012 15 QUATTRO UV CLEAN,IMPULSION2 PLUS OFG 012 15 QUATTRO UV CLEAN,UNIFOCAL,IMPULSION2 PLUS,"1,5",BLANC,QUATTRO UV CLEAN,RX,BLANC,"27,96€","5,00%","26,56€",,,,,
CODIR,AKLSRX,AKLS,IMPULSION2 PLUS OFG 012 15 B-PROTECT,IMPULSION2 PLUS OFG 012 15 B-PROTECT,UNIFOCAL,IMPULSION2 PLUS,"1,5",BLANC,B-PROTECT,RX,BLANC,"33,04€","4,99%","31,39€",,,,,
ORUS,ATFERX,ATFE,ORUS SCREEN BOOST PLUS 012 15 B-PROTECT,IMPULSION2 PLUS OFG 012 15 B-PROTECT,UNIFOCAL,IMPULSION2 PLUS,"1,5",BLANC,B-PROTECT,RX,BLANC,"27,96€","5,00%","26,56€",,,,,
CODIR,AKQPRX,AKQP,IMPULSION2 PLUS OFG 012 15 B-PROTECT CLEAN,IMPULSION2 PLUS OFG 012 15 B-PROTECT CLEAN,UNIFOCAL,IMPULSION2 PLUS,"1,5",BLANC,B-PROTECT CLEAN,RX,BLANC,"37,10€","4,99%","35,25€",,,,,
ORUS,ATFFRX,ATFF,ORUS SCREEN BOOST PLUS 012 15 B-PROTECT CLEAN,IMPULSION2 PLUS OFG 012 15 B-PROTECT CLEAN,UNIFOCAL,IMPULSION2 PLUS,"1,5",BLANC,B-PROTECT CLEAN,RX,BLANC,"31,40€","5,00%","29,83€",,,,,
CODIR,AKL1RX,AKL1,IMPULSION2 PLUS OFG 012 15 SUV MISTRAL,IMPULSION2 PLUS OFG 012 15 SUV MISTRAL,UNIFOCAL,IMPULSION2 PLUS,"1,5","BLANC SUV 1,5",MISTRAL,RX,BLANC,"26,27€","5,00%","24,96€",,,,,
ORUS,ATFGRX,ATFG,ORUS SCREEN BOOST PLUS 012 15 SUV MISTRAL,IMPULSION2 PLUS OFG 012 15 SUV MISTRAL,UNIFOCAL,IMPULSION2 PLUS,"1,5","BLANC SUV 1,5",MISTRAL,RX,BLANC,"22,23€","5,00%","21,12€",,,,,
CODIR,AKL2RX,AKL2,IMPULSION2 PLUS OFG 012 15 SUV E-PROTECT,IMPULSION2 PLUS OFG 012 15 SUV E-PROTECT,UNIFOCAL,IMPULSION2 PLUS,"1,5","BLANC SUV 1,5",E-PROTECT,RX,BLANC,"29,66€","5,01%","28,17€",,,,,
ORUS,ATFHRX,ATFH,ORUS SCREEN BOOST PLUS 012 15 SUV E-PROTECT,IMPULSION2 PLUS OFG 012 15 SUV E-PROTECT,UNIFOCAL,IMPULSION2 PLUS,"1,5","BLANC SUV 1,5",E-PROTECT,RX,BLANC,"25,09€","5,00%","23,84€",,,,,
CODIR,AKL3RX,AKL3,IMPULSION2 PLUS OFG 012 15 SUV QUATTRO UV,IMPULSION2 PLUS OFG 012 15 SUV QUATTRO UV,UNIFOCAL,IMPULSION2 PLUS,"1,5","BLANC SUV 1,5",QUATTRO UV,RX,BLANC,"31,01€","5,00%","29,46€",,,,,
ORUS,ATFIRX,ATFI,ORUS SCREEN BOOST PLUS 012 15 SUV QUATTRO UV,IMPULSION2 PLUS OFG 012 15 SUV QUATTRO UV,UNIFOCAL,IMPULSION2 PLUS,"1,5","BLANC SUV 1,5",QUATTRO UV,RX,BLANC,"26,24€","5,00%","24,93€",,,,,
CODIR,AKQURX,AKQU,IMPULSION2 PLUS OFG 012 15 SUV QUATTRO UV CLEAN,IMPULSION2 PLUS OFG 012 15 SUV QUATTRO UV CLEAN,UNIFOCAL,IMPULSION2 PLUS,"1,5","BLANC SUV 1,5",QUATTRO UV CLEAN,RX,BLANC,"35,07€","4,99%","33,32€",,,,,
